Date,Infected,Dead
2003-03-17,167,4
2003-03-18,219,4
2003-03-19,264,9
2003-03-20,306,10
2003-03-21,350,10
2003-03-22,386,11
2003-03-24,456,17
2003-03-25,487,17
2003-03-26,1323,49
2003-03-27,1408,53
2003-03-28,1485,53
2003-03-29,1550,54
2003-03-31,1622,58
2003-04-01,1804,62
2003-04-02,2223,78
2003-04-03,2270,79
2003-04-04,2353,84
2003-04-05,2416,84
2003-04-07,2601,98
2003-04-08,2671,103
2003-04-09,2722,106
2003-04-10,2781,111
2003-04-11,2890,116
2003-04-12,2960,119
2003-04-14,3169,144
2003-04-15,3235,154
2003-04-16,3293,159
2003-04-17,3389,165
2003-04-18,3547,182
2003-04-19,3547,182
2003-04-21,3861,217
2003-04-22,3947,229
2003-04-23,4288,251
2003-04-24,4439,263
2003-04-25,4649,274
2003-04-26,4836,293
2003-04-28,5050,321
2003-04-29,5462,353
2003-04-30,5663,372
2003-05-01,5865,391
2003-05-02,6054,417
2003-05-03,6234,435
2003-05-05,6583,461
2003-05-06,6727,478
2003-05-07,6903,495
2003-05-08,7053,506
2003-05-09,7183,514
2003-05-10,7296,526
2003-05-12,7447,552
2003-05-13,7548,573
2003-05-14,7628,587
2003-05-15,7699,598
2003-05-16,7739,611
2003-05-17,7761,623
2003-05-19,7864,643
2003-05-20,7919,662
2003-05-21,7956,666
2003-05-22,8046,682
2003-05-23,8117,689
2003-05-24,8141,696
2003-05-26,8202,725
2003-05-27,8221,735
2003-05-28,8240,745
2003-05-29,8295,750
2003-05-30,8317,754
2003-05-31,8360,764
2003-06-02,8384,770
2003-06-03,8398,772
2003-06-04,8402,772
2003-06-05,8403,775
2003-06-06,8404,779
2003-06-09,8421,784
2003-06-10,8430,789
2003-06-11,8435,789
2003-06-12,8445,790
2003-06-13,8454,792
2003-06-16,8460,799
2003-06-17,8464,799
2003-06-18,8465,801
2003-06-19,8462,804
2003-06-20,8461,804
2003-06-23,8459,805
2003-06-24,8458,807
2003-06-25,8460,808
2003-06-26,8456,809
2003-06-27,8450,810
2003-06-30,8447,811
2003-07-01,8445,812
2003-07-02,8442,812
2003-07-03,8439,812
2003-07-04,8439,812
2003-07-07,8439,812
2003-07-08,8436,812
2003-07-09,8436,812
2003-07-10,8437,812
2003-07-11,8437,813
